GEN,TIME,EVAL,BEST,AVG,STDDEV,WORST
0	6.83		2048		1.23e+02  1.39e+02  4.60e+00  1.56e+02
1	13.70		4096		1.18e+02  1.34e+02  4.70e+00  1.48e+02
2	20.51		6144		1.15e+02  1.30e+02  4.13e+00  1.43e+02
3	27.32		8192		1.14e+02  1.27e+02  3.77e+00  1.38e+02
4	34.14		10240		1.10e+02  1.24e+02  3.56e+00  1.34e+02
5	40.96		12288		1.08e+02  1.21e+02  3.77e+00  1.31e+02
6	47.78		14336		1.04e+02  1.18e+02  4.07e+00  1.28e+02
7	54.60		16384		9.92e+01  1.14e+02  4.21e+00  1.24e+02
8	61.42		18432		9.68e+01  1.09e+02  4.23e+00  1.21e+02
9	68.29		20480		8.98e+01  1.04e+02  4.28e+00  1.17e+02
